,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,close_raw,open_raw,high_raw,low_raw,price_type
0,000001.SZ,2025-01-10,11.400014679654767,11.460014756916108,11.280014525132083,11.300014550885866,11.4,-0.1,-0.8772,798133.51,905005.041,11.3,11.4,11.46,11.28,forward_adjusted
1,000001.SZ,2025-01-13,11.25000946417352,11.260009472586118,11.080009321159343,11.200009422110526,11.3,-0.1,-0.885,934966.18,1044904.416,11.2,11.25,11.26,11.08,forward_adjusted
2,000001.SZ,2025-01-14,11.20000469802922,11.4000047819226,11.190004693834553,11.380004773533264,11.2,0.18,1.6071,824628.95,934467.766,11.38,11.2,11.4,11.19,forward_adjusted
3,000001.SZ,2025-01-15,11.380000867852184,11.580000883104418,11.36000086632696,11.480000875478302,11.38,0.1,0.8787,1031630.82,1185403.653,11.48,11.38,11.58,11.36,forward_adjusted
4,000001.SZ,2025-01-16,11.550004075285282,11.590004089398821,11.470004047058197,11.570004082342052,11.48,0.09,0.784,872963.99,1007689.274,11.57,11.55,11.59,11.47,forward_adjusted
5,000001.SZ,2025-01-17,11.53,11.55,11.42,11.45,11.57,-0.12,-1.0372,689764.86,791230.419,11.45,11.53,11.55,11.42,forward_adjusted
